t2m,skt,rad,e
25.166,25.243,27.900,3.325
28.179,30.321,72.988,2.873
25.649,25.846,30.714,3.824
26.488,26.974,39.171,3.845
25.682,26.873,46.217,3.338
27.753,30.292,49.042,4.522
26.008,27.509,39.162,4.181
28.598,30.704,67.356,2.836
26.537,28.664,44.813,3.874
27.396,28.482,57.480,3.632
27.501,28.439,65.943,3.293
27.645,30.021,71.589,3.546
27.882,30.142,61.719,4.202
24.911,27.064,37.754,4.022
26.984,29.159,72.988,3.170
26.173,27.032,46.219,4.105
26.314,27.641,40.577,4.681
25.994,25.635,34.952,3.388
25.445,25.727,39.184,3.433
28.243,30.701,71.585,2.946
24.989,25.635,29.308,3.397
26.840,29.033,41.994,3.855
27.485,29.501,63.134,2.428
25.714,26.656,32.119,3.659
25.583,26.270,33.530,4.152
27.035,28.044,51.856,4.740
26.320,27.134,49.042,4.395
27.467,30.597,61.726,3.430
25.445,25.727,39.184,3.433
26.684,27.295,34.933,4.215
26.386,27.930,51.846,2.730
26.189,27.646,33.555,3.734
24.893,25.367,29.305,3.726
28.574,31.007,63.118,2.888
26.988,27.050,46.219,4.357
27.227,28.214,67.356,4.263
26.979,27.438,39.164,3.893
26.652,27.481,56.079,2.871
25.507,27.238,49.042,4.858
27.502,29.419,47.636,4.595
24.218,24.127,25.086,2.347
28.112,28.735,80.044,2.841
27.075,27.980,36.341,4.297
26.326,27.904,46.217,4.283
25.120,26.944,41.999,4.192
24.509,26.042,36.357,3.929
26.652,28.010,63.129,3.645
26.144,27.372,49.035,3.112
26.159,27.568,44.806,4.730
26.563,29.314,53.261,3.589
26.825,29.300,53.275,3.743
27.573,29.588,49.042,3.975
27.972,29.766,81.438,3.130
25.927,26.102,26.494,3.594
28.850,31.929,50.447,3.271
27.235,27.158,34.933,4.274
26.652,27.481,56.079,2.871
26.050,28.392,47.631,4.702
26.553,28.269,46.219,4.543
23.867,23.233,26.494,2.248
26.341,26.035,32.124,3.640
26.537,28.664,44.813,3.874
24.357,25.800,29.308,3.389
27.587,29.267,56.098,2.565
27.108,30.071,49.042,3.742
27.570,30.642,56.080,3.094
25.762,27.209,50.447,4.166
26.584,29.499,39.178,4.043
26.685,27.643,51.853,3.492
26.741,29.493,49.042,4.374
27.119,28.992,81.438,3.089
25.522,25.912,32.116,3.938
28.070,29.029,65.947,2.401
24.573,26.982,33.527,3.507
26.932,30.038,54.690,4.073
27.253,29.674,57.502,2.442
25.157,25.999,29.312,4.169
26.772,27.649,56.075,4.016
25.454,24.673,26.494,2.994
25.464,26.343,47.629,3.918
26.141,27.115,37.761,4.078
27.632,30.049,71.589,3.175
26.079,26.838,34.933,4.775
25.040,26.706,37.753,4.131
26.768,28.717,50.447,3.302
27.621,27.922,47.629,4.463
26.501,27.779,49.042,4.512
26.505,28.060,49.042,4.672
26.099,28.923,56.080,3.290
26.091,27.082,36.341,3.631
28.682,31.503,56.098,4.221
25.634,25.802,26.494,3.265
27.724,29.912,64.542,3.035
27.893,30.416,65.943,3.490
27.893,30.416,65.943,3.490
26.772,27.649,56.075,4.016
25.322,26.231,30.711,3.302
24.053,24.917,27.907,3.176
27.980,30.617,67.356,2.950
27.764,29.605,49.042,4.478
