t2m,skt,rad,e
24.990,26.483,47.629,4.737
25.507,27.238,49.042,4.858
26.505,28.060,49.042,4.672
25.867,26.577,46.221,3.910
24.022,24.840,30.708,3.459
24.788,26.418,44.806,4.307
25.943,27.311,47.634,4.293
25.342,27.030,44.806,4.252
25.558,27.322,43.398,4.205
25.683,27.542,41.985,4.142
24.911,27.064,37.754,4.022
24.929,25.775,29.308,3.946
24.079,25.688,32.126,4.290
22.781,24.102,29.298,3.515
25.550,26.355,33.524,3.976
22.821,23.328,25.084,2.448
24.624,25.607,26.494,3.534
25.201,25.894,32.126,3.710
23.937,24.603,29.308,3.287
22.945,23.922,29.308,3.504
23.514,25.252,26.494,3.255
24.112,25.556,30.714,3.935
24.086,24.760,33.527,4.090
23.940,24.158,27.900,3.218
23.728,24.781,29.319,3.511
22.978,23.494,33.532,3.861
25.769,26.972,37.765,4.093
26.245,28.017,51.856,4.703
26.608,28.165,49.042,4.692
26.083,27.049,43.397,4.537
26.185,27.024,49.042,5.018
24.700,25.548,34.935,3.985
23.394,24.937,26.494,2.977
24.319,25.649,33.524,4.053
24.028,24.197,26.494,3.874
23.845,24.411,26.494,3.575
24.382,24.628,26.494,4.334
23.666,23.810,25.084,3.195
24.386,25.327,26.494,3.694
24.917,26.403,37.759,4.358
22.977,23.953,26.494,3.329
24.427,25.963,27.900,3.838
24.908,25.829,30.711,3.459
25.905,27.205,39.178,4.229
24.590,26.083,36.364,4.135
25.281,26.890,37.773,4.366
25.706,27.159,37.756,4.169
25.629,26.544,34.935,4.608
23.638,23.535,20.862,2.410
23.399,23.691,26.494,3.256
23.324,23.540,26.494,2.383
23.628,23.428,26.494,3.156
22.235,22.625,26.494,2.568
23.543,24.771,33.524,3.876
24.936,26.459,49.042,4.405
25.649,26.404,40.575,4.248
24.890,25.194,26.494,3.043
24.878,25.522,32.126,3.752
23.980,25.696,30.714,3.529
25.799,27.319,44.808,4.521
24.938,25.236,32.124,4.092
23.840,23.974,26.494,3.232
23.967,23.961,26.494,2.897
24.763,25.740,30.714,3.829
23.396,24.752,30.714,3.687
23.786,24.646,26.494,2.805
24.788,26.281,36.345,4.159
24.794,25.517,32.119,4.178
25.830,26.613,33.524,4.260
25.239,26.010,27.900,3.728
25.077,24.624,26.494,3.528
24.660,24.536,26.494,3.253
23.957,23.783,25.082,2.717
25.263,25.722,27.893,3.160
24.688,24.286,26.494,3.025
24.085,23.830,26.494,2.830
24.114,24.554,26.494,3.680
24.918,26.186,34.952,4.012
23.331,24.043,22.259,2.995
22.845,23.100,26.494,2.308
23.977,24.103,26.494,3.369
24.300,24.821,27.900,3.071
24.565,25.262,26.494,3.469
24.360,25.260,25.082,3.289
24.759,25.728,27.905,3.691
26.201,27.149,34.945,4.289
26.414,26.856,39.160,4.327
25.352,24.837,32.126,4.012
24.904,24.717,27.900,3.826
24.482,24.737,27.900,3.494
24.144,25.136,26.494,3.238
24.956,25.158,27.900,3.306
26.032,26.714,37.756,4.248
25.401,25.664,33.551,3.866
24.783,25.608,33.551,4.164
25.388,25.837,37.763,4.163
24.868,26.205,33.527,4.003
25.452,26.398,41.987,4.134
25.566,26.032,36.365,3.924
24.442,24.781,25.082,3.520
25.157,25.999,29.312,4.169
25.171,25.225,32.119,3.864
24.977,25.376,26.494,3.390
23.645,23.900,26.494,2.718
24.989,25.635,29.308,3.397
25.779,26.433,32.122,4.059
25.860,25.844,34.948,4.136
25.483,25.627,34.933,4.180
25.368,25.693,32.116,3.900
25.892,26.435,39.164,3.946
25.695,27.562,47.629,4.491
25.590,26.546,36.363,3.967
25.807,26.444,36.353,4.249
25.617,26.883,27.903,3.531
25.822,26.372,26.494,4.000
25.901,26.212,27.900,4.162
25.166,25.696,27.903,3.743
26.108,26.743,41.992,4.405
25.839,25.782,34.935,4.422
25.155,25.124,26.494,3.603
24.005,24.093,26.494,2.989
25.319,26.202,26.494,3.823
23.748,23.635,26.494,2.879
24.578,25.398,33.532,4.156
24.997,24.282,29.318,3.848
24.954,25.457,26.494,3.599
25.335,25.957,27.900,3.982
24.678,24.026,26.494,2.660
25.173,25.719,29.305,3.490
24.872,25.152,27.900,3.319
26.344,26.443,33.534,4.017
26.606,27.120,47.634,4.339
26.314,26.320,39.191,4.120
26.641,27.041,44.808,4.328
26.733,27.342,41.981,4.129
26.728,27.443,47.629,4.652
27.338,28.060,49.042,4.617
27.338,27.876,49.042,4.427
27.276,27.953,46.217,4.368
26.341,26.035,32.124,3.640
25.000,25.251,30.711,3.184
25.553,25.462,27.900,3.395
25.648,26.480,37.752,4.254
26.428,26.549,37.756,4.090
26.481,26.867,40.573,3.967
26.398,26.449,36.345,3.972
25.712,25.429,34.937,3.472
25.684,26.729,37.761,3.564
26.377,27.107,41.994,3.898
26.755,27.774,49.042,4.134
27.412,28.356,49.042,4.468
27.444,27.888,49.042,3.942
27.080,27.819,46.219,4.237
26.910,27.562,49.042,3.985
26.961,27.581,49.042,4.121
26.936,27.359,46.219,3.839
25.392,26.067,32.116,3.658
26.313,27.147,47.629,3.989
26.441,27.080,47.629,3.670
24.874,25.282,36.341,2.953
25.464,26.343,47.629,3.918
26.227,27.266,56.072,3.870
25.773,26.864,50.433,3.772
26.646,27.332,47.629,3.541
26.348,26.334,39.160,3.405
26.772,27.649,56.075,4.016
26.904,28.091,58.888,3.838
26.970,27.793,49.042,3.524
26.102,27.082,44.810,3.478
26.590,27.544,58.893,3.744
26.264,27.196,51.856,3.531
25.834,27.159,49.042,3.642
25.682,26.873,46.217,3.338
26.109,26.988,56.076,3.327
26.363,27.283,61.716,3.637
25.951,26.846,51.858,3.150
26.339,26.791,49.042,3.551
26.204,27.272,51.846,3.659
25.814,27.040,53.273,3.424
26.091,26.819,49.042,3.271
26.324,27.578,53.261,3.121
25.751,27.558,49.042,3.107
26.837,28.059,49.042,3.024
26.067,27.161,40.572,2.971
24.980,26.118,36.341,3.158
25.535,26.821,43.394,3.127
24.118,24.383,34.949,3.025
24.547,24.550,30.714,3.322
24.672,25.878,37.756,3.111
26.043,27.128,43.393,3.502
26.163,27.458,53.258,3.736
26.147,27.550,51.858,3.758
26.265,27.744,58.905,3.782
26.652,28.010,63.129,3.645
26.547,27.728,49.042,3.306
26.113,27.951,65.950,3.966
26.130,27.164,68.764,3.862
26.099,26.775,58.893,3.897
26.519,26.996,54.664,3.441
26.378,27.479,58.891,3.620
26.741,27.959,64.528,3.603
26.625,27.730,60.301,3.232
27.014,28.081,51.861,3.171
25.644,27.399,56.072,3.188
26.330,27.935,57.480,3.282
25.911,27.405,49.028,2.975
26.075,27.573,51.848,3.105
26.381,28.022,57.480,3.062
26.034,27.936,60.299,3.173
27.013,28.778,58.888,3.174
26.490,28.505,61.707,3.238
26.773,27.883,63.120,3.276
26.452,28.261,75.796,3.438
26.652,28.326,78.619,3.400
26.767,28.203,70.177,3.421
26.993,28.587,70.177,3.209
26.328,28.558,70.170,3.135
26.758,28.830,72.988,3.370
26.407,28.704,77.214,3.419
26.719,28.785,70.177,3.259
26.557,28.512,67.352,3.182
26.849,28.924,75.801,3.560
